user_id,name,email,age
1,Eve,grace@sample.net,30
2,Grace,jack@sample.net,19
3,Hannah,charlie@example.com,58
4,Grace,grace@testmail.com,52
5,Charlie,david@example.com,36
6,Hannah,isaac@example.com,38
7,Bob,isaac@dummy.org,38
8,Eve,hannah@example.com,40
9,Grace,david@sample.net,54
10,David,david@testmail.com,26
11,Frank,frank@testmail.com,24
12,Isaac,frank@sample.net,37
13,Bob,bob@dummy.org,23
14,Eve,grace@dummy.org,28
15,Charlie,jack@sample.net,34
16,Hannah,david@sample.net,38
17,Jack,alice@sample.net,29
18,Jack,jack@example.com,23
19,Bob,charlie@dummy.org,46
20,David,eve@sample.net,47
21,Isaac,frank@example.com,31
22,Hannah,charlie@example.com,38
23,Isaac,bob@dummy.org,57
24,Bob,grace@dummy.org,27
25,Hannah,hannah@testmail.com,29
26,Eve,hannah@dummy.org,47
27,Jack,eve@sample.net,58
28,Alice,bob@sample.net,42
29,Charlie,jack@testmail.com,60
30,Bob,frank@testmail.com,33
31,Grace,david@example.com,44
32,Isaac,alice@sample.net,28
33,Charlie,charlie@example.com,55
34,Eve,hannah@example.com,56
35,Hannah,alice@sample.net,59
36,Grace,bob@testmail.com,53
37,Charlie,charlie@example.com,48
38,Jack,isaac@example.com,32
39,Frank,jack@sample.net,55
40,Grace,jack@sample.net,46
41,Charlie,charlie@dummy.org,44
42,Charlie,isaac@sample.net,57
43,Hannah,david@sample.net,51
44,Frank,alice@sample.net,46
45,Alice,eve@testmail.com,60
46,Eve,grace@sample.net,33
47,Hannah,david@testmail.com,37
48,Alice,frank@dummy.org,22
49,Hannah,david@dummy.org,48
50,Isaac,jack@dummy.org,48
51,Frank,frank@testmail.com,38
52,Bob,bob@example.com,42
53,Eve,hannah@sample.net,25
54,Isaac,isaac@dummy.org,57
55,Isaac,grace@dummy.org,45
56,Eve,david@testmail.com,60
57,Alice,isaac@example.com,59
58,Hannah,jack@testmail.com,26
59,Jack,hannah@sample.net,39
60,Isaac,david@testmail.com,42
61,Hannah,isaac@testmail.com,19
62,Eve,alice@dummy.org,44
63,David,jack@dummy.org,27
64,Alice,hannah@dummy.org,39
65,David,hannah@testmail.com,47
66,Isaac,hannah@sample.net,38
67,Hannah,frank@sample.net,49
68,Eve,grace@example.com,38
69,Bob,hannah@testmail.com,29
70,Alice,bob@example.com,23
71,Isaac,david@testmail.com,32
72,Alice,isaac@example.com,21
73,Jack,charlie@testmail.com,54
74,Bob,bob@dummy.org,54
75,Hannah,grace@example.com,18
76,Hannah,alice@sample.net,41
77,Hannah,bob@dummy.org,60
78,Hannah,isaac@testmail.com,57
79,Isaac,david@sample.net,46
80,Eve,jack@example.com,18
81,Eve,grace@sample.net,18
82,Eve,frank@dummy.org,55
83,Bob,bob@sample.net,53
